Movimentação na conta,Duração em meses,Histórico de pagamentos,Finalidade do crédito,Valor do crédito,Saldo em conta poupança/títulos,Emprego atual desde,Comprometimento de Renda,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Bem/Propriedade Principal,Idade em anos,Parcelamento com terceiros,Forma de Moradia,Número de créditos existentes neste banco,Emprego,Número de dependentes,Possui Telefone,Trabalhador estrangeiro,Target
< 0 $,12,conta critica / dividas com terceiros,carro novo,2121,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,30,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),radio ou televisao,701,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,2,imovel,40,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),reparos,639,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,30,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,12,conta critica / dividas com terceiros,carro usado,1860,< 100 $,desempregado,4,masc-solteiro,n/há,2,carro ou outros-quitado,34,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,12,conta critica / dividas com terceiros,carro novo,3499,< 100 $,< 4 anos,3,femi-divorciadaoucasada,codevedor,2,imovel,29,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,48,pgto em dia neste banco (em aberto),carro novo,8487,n/há,< 7 anos,1,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,36,pgto em atraso no passado,educacao,6887,< 100 $,< 4 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,29,loja,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,15,pgto em dia neste banco (em aberto),moveis e equipamentos,2708,< 100 $,< 1 ano,2,masc-solteiro,n/há,3,poupança ou seguro de vida,27,banco,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),moveis e equipamentos,1984,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,n/há,47,banco,gratuita,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,60,pgto em dia neste banco (em aberto),radio ou televisao,10144,>= 100 < 500 $,< 7 anos,2,femi-divorciadaoucasada,n/há,4,imovel,21,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,conta critica / dividas com terceiros,radio ou televisao,1240,n/há,>= 7 anos,4,femi-divorciadaoucasada,n/há,2,imovel,38,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,27,pgto em atraso no passado,carro usado,8613,>= 1000 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,766,>= 500 < 1000 $,< 4 anos,4,masc-solteiro,n/há,3,imovel,66,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
>= 0 < 200 $,15,conta critica / dividas com terceiros,radio ou televisao,2728,n/há,< 7 anos,4,masc-solteiro,garantidor,2,imovel,35,banco,própria,3,empregado-formadoouservidorpublico,1,sim,sim,1
>= 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1881,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,44,n/há,aluguel,1,empregado-semformacao-residente,1,sim,sim,1
>= 200 $,6,pgto em dia neste banco (em aberto),carro novo,709,>= 1000 $,< 1 ano,2,masc-casadoouviuvo,n/há,2,imovel,27,n/há,própria,1,desempregado-semformacao-naoresidente,1,não,não,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),radio ou televisao,4795,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,n/há,30,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,27,pgto em dia neste banco (em aberto),radio ou televisao,3416,< 100 $,< 4 anos,3,masc-solteiro,n/há,2,carro ou outros-quitado,27,n/há,própria,1,empresario-gerente-altaqualificacao,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,2462,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,22,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,21,conta critica / dividas com terceiros,moveis e equipamentos,2288,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,23,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (quitado),negocios,3566,>= 100 < 500 $,< 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,30,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,6,conta critica / dividas com terceiros,carro novo,860,< 100 $,>= 7 anos,1,femi-divorciadaoucasada,n/há,4,n/há,39,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,conta critica / dividas com terceiros,carro novo,682,>= 100 < 500 $,< 7 anos,4,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,51,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,36,conta critica / dividas com terceiros,moveis e equipamentos,5371,< 100 $,< 4 anos,3,masc-solteiro,garantidor,2,poupança ou seguro de vida,28,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,conta critica / dividas com terceiros,radio ou televisao,1582,>= 1000 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,46,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,6,pgto em dia neste banco (em aberto),radio ou televisao,1346,>= 100 < 500 $,>= 7 anos,2,masc-solteiro,n/há,4,n/há,42,banco,gratuita,1,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,10,pgto em dia neste banco (em aberto),radio ou televisao,1924,< 100 $,< 4 anos,1,masc-solteiro,n/há,4,poupança ou seguro de vida,38,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,não,1
>= 200 $,36,pgto em dia neste banco (em aberto),radio ou televisao,5848,< 100 $,< 4 anos,4,masc-solteiro,n/há,1,carro ou outros-quitado,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,24,conta critica / dividas com terceiros,carro usado,7758,>= 1000 $,>= 7 anos,2,femi-divorciadaoucasada,n/há,4,n/há,29,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,24,pgto em atraso no passado,negocios,6967,>= 100 < 500 $,< 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,36,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1282,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,20,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,9,conta critica / dividas com terceiros,reparos,1288,>= 100 < 500 $,>= 7 anos,3,masc-solteiro,garantidor,4,imovel,48,n/há,própria,2,empregado-formadoouservidorpublico,2,não,não,1
< 0 $,12,pgto em dia neste banco (quitado),reciclagem profissional,339,< 100 $,>= 7 anos,4,masc-casadoouviuvo,n/há,1,carro ou outros-quitado,45,banco,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),carro novo,3512,>= 100 < 500 $,< 7 anos,2,masc-solteiro,n/há,3,carro ou outros-quitado,38,banco,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,6,conta critica / dividas com terceiros,radio ou televisao,1898,n/há,< 4 anos,1,masc-solteiro,n/há,2,imovel,34,n/há,própria,2,empregado-semformacao-residente,2,não,sim,1
n/há,24,conta critica / dividas com terceiros,radio ou televisao,2872,>= 100 < 500 $,>= 7 anos,3,masc-solteiro,n/há,4,imovel,36,n/há,própria,1,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,18,conta critica / dividas com terceiros,carro novo,1055,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,30,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,15,pgto em dia neste banco (em aberto),eletrodomesticos,1262,>= 500 < 1000 $,< 7 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,36,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,10,pgto em dia neste banco (em aberto),carro novo,7308,< 100 $,desempregado,2,masc-solteiro,n/há,4,n/há,70,banco,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,36,pgto em dia neste banco (em aberto),carro novo,909,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,36,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,6,pgto em dia neste banco (em aberto),moveis e equipamentos,2978,>= 500 < 1000 $,< 4 anos,1,masc-solteiro,n/há,2,carro ou outros-quitado,32,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,1131,< 100 $,desempregado,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,33,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,11,pgto em dia neste banco (em aberto),moveis e equipamentos,1577,>= 1000 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,imovel,20,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),moveis e equipamentos,3972,< 100 $,< 7 anos,2,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,25,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,24,conta critica / dividas com terceiros,negocios,1935,< 100 $,>= 7 anos,4,masc-divorciado,n/há,4,imovel,31,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,15,nenhum/pgto em dia,carro novo,950,< 100 $,>= 7 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,33,n/há,aluguel,2,empregado-formadoouservidorpublico,2,não,sim,2
n/há,12,pgto em dia neste banco (em aberto),moveis e equipamentos,763,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,1,imovel,26,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,24,pgto em atraso no passado,moveis e equipamentos,2064,< 100 $,desempregado,3,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,34,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
>= 0 < 200 $,8,pgto em dia neste banco (em aberto),radio ou televisao,1414,< 100 $,< 4 anos,4,masc-solteiro,garantidor,2,imovel,33,n/há,própria,1,empregado-formadoouservidorpublico,1,não,não,1
< 0 $,21,pgto em atraso no passado,educacao,3414,< 100 $,< 1 ano,2,masc-solteiro,n/há,1,poupança ou seguro de vida,26,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,30,pgto em dia neste banco (quitado),carro usado,7485,n/há,desempregado,4,femi-divorciadaoucasada,n/há,1,imovel,53,banco,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,2577,< 100 $,< 4 anos,2,masc-divorciado,n/há,1,carro ou outros-quitado,42,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,6,conta critica / dividas com terceiros,radio ou televisao,338,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,52,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,1963,< 100 $,< 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,31,n/há,aluguel,2,empresario-gerente-altaqualificacao,2,sim,sim,1
< 0 $,21,conta critica / dividas com terceiros,carro novo,571,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,65,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,36,pgto em atraso no passado,negocios,9572,< 100 $,< 1 ano,1,masc-divorciado,n/há,1,carro ou outros-quitado,28,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,36,pgto em atraso no passado,negocios,4455,< 100 $,< 4 anos,2,masc-divorciado,n/há,2,imovel,30,loja,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,2
< 0 $,21,pgto em dia neste banco (quitado),carro novo,1647,n/há,< 4 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,40,n/há,própria,2,empregado-semformacao-residente,2,não,sim,2
n/há,24,conta critica / dividas com terceiros,moveis e equipamentos,3777,>= 1000 $,< 4 anos,4,masc-solteiro,n/há,4,imovel,50,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,carro novo,884,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,36,banco,própria,1,empregado-formadoouservidorpublico,2,sim,sim,2
n/há,15,conta critica / dividas com terceiros,radio ou televisao,1360,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,31,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,9,pgto em dia neste banco (quitado),carro usado,5129,< 100 $,>= 7 anos,2,femi-divorciadaoucasada,n/há,4,n/há,74,banco,gratuita,1,empresario-gerente-altaqualificacao,2,sim,sim,2
>= 0 < 200 $,16,conta critica / dividas com terceiros,carro novo,1175,< 100 $,desempregado,2,masc-solteiro,n/há,3,carro ou outros-quitado,68,n/há,gratuita,3,desempregado-semformacao-naoresidente,1,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),radio ou televisao,674,>= 100 < 500 $,< 7 anos,4,masc-casadoouviuvo,n/há,1,poupança ou seguro de vida,20,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,18,nenhum/pgto em dia,moveis e equipamentos,3244,< 100 $,< 4 anos,1,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,33,banco,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),negocios,4591,>= 1000 $,< 4 anos,2,masc-solteiro,n/há,3,poupança ou seguro de vida,54,n/há,própria,3,empresario-gerente-altaqualificacao,1,sim,sim,2
>= 0 < 200 $,48,nenhum/pgto em dia,negocios,3844,>= 100 < 500 $,< 7 anos,4,masc-solteiro,n/há,4,n/há,34,n/há,gratuita,1,empregado-semformacao-residente,2,não,sim,2
>= 0 < 200 $,27,pgto em dia neste banco (em aberto),negocios,3915,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,36,n/há,própria,1,empregado-formadoouservidorpublico,2,sim,sim,2
n/há,6,pgto em dia neste banco (em aberto),radio ou televisao,2108,< 100 $,< 7 anos,2,masc-casadoouviuvo,n/há,2,imovel,29,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,45,pgto em dia neste banco (em aberto),radio ou televisao,3031,>= 100 < 500 $,< 4 anos,4,masc-solteiro,garantidor,4,poupança ou seguro de vida,21,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,9,conta critica / dividas com terceiros,educacao,1501,< 100 $,>= 7 anos,2,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,34,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,6,conta critica / dividas com terceiros,radio ou televisao,1382,< 100 $,< 4 anos,1,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,28,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,951,>= 100 < 500 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,27,banco,aluguel,4,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),carro usado,2760,n/há,>= 7 anos,4,masc-solteiro,n/há,4,n/há,36,banco,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,18,pgto em atraso no passado,moveis e equipamentos,4297,< 100 $,>= 7 anos,4,masc-divorciado,n/há,3,n/há,40,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,9,conta critica / dividas com terceiros,educacao,936,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,52,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),carro novo,1168,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,3,imovel,27,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
n/há,27,pgto em atraso no passado,negocios,5117,< 100 $,< 7 anos,3,masc-solteiro,n/há,4,carro ou outros-quitado,26,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),reciclagem profissional,902,< 100 $,< 7 anos,4,masc-casadoouviuvo,n/há,4,poupança ou seguro de vida,21,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,12,conta critica / dividas com terceiros,carro novo,1495,< 100 $,>= 7 anos,4,masc-solteiro,n/há,1,imovel,38,n/há,própria,2,empregado-semformacao-residente,2,não,sim,1
< 0 $,30,conta critica / dividas com terceiros,carro usado,10623,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,n/há,38,n/há,gratuita,3,empresario-gerente-altaqualificacao,2,sim,sim,1
n/há,12,conta critica / dividas com terceiros,moveis e equipamentos,1935,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,43,n/há,própria,3,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,12,conta critica / dividas com terceiros,eletrodomesticos,1424,< 100 $,< 7 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,26,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),negocios,6568,< 100 $,< 4 anos,2,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,21,loja,própria,1,empregado-semformacao-residente,1,não,sim,1
n/há,12,pgto em dia neste banco (em aberto),carro usado,1413,>= 1000 $,< 7 anos,3,masc-solteiro,n/há,2,poupança ou seguro de vida,55,n/há,própria,1,empregado-formadoouservidorpublico,1,não,não,1
n/há,9,conta critica / dividas com terceiros,radio ou televisao,3074,n/há,< 4 anos,1,masc-solteiro,n/há,2,imovel,33,n/há,própria,2,empregado-formadoouservidorpublico,2,não,sim,1
n/há,36,pgto em dia neste banco (em aberto),radio ou televisao,3835,n/há,>= 7 anos,2,femi-divorciadaoucasada,n/há,4,imovel,45,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,1
< 0 $,27,nenhum/pgto em dia,negocios,5293,< 100 $,desempregado,2,masc-solteiro,n/há,4,poupança ou seguro de vida,50,loja,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
>= 200 $,30,pgto em atraso no passado,negocios,1908,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,66,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,36,conta critica / dividas com terceiros,radio ou televisao,3342,n/há,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,51,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,6,conta critica / dividas com terceiros,reciclagem profissional,932,n/há,< 7 anos,1,femi-divorciadaoucasada,n/há,3,poupança ou seguro de vida,39,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
< 0 $,18,nenhum/pgto em dia,negocios,3104,< 100 $,< 7 anos,3,masc-solteiro,n/há,1,poupança ou seguro de vida,31,banco,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 200 $,36,pgto em dia neste banco (em aberto),radio ou televisao,3913,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,imovel,23,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),moveis e equipamentos,3021,< 100 $,< 4 anos,2,masc-divorciado,n/há,2,imovel,24,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
n/há,10,pgto em dia neste banco (em aberto),carro novo,1364,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,64,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,625,< 100 $,< 1 ano,4,masc-casadoouviuvo,garantidor,1,imovel,26,banco,própria,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),educacao,1200,n/há,< 4 anos,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,23,banco,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,707,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,imovel,30,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em atraso no passado,negocios,2978,n/há,< 4 anos,4,masc-solteiro,n/há,4,imovel,32,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
n/há,15,pgto em dia neste banco (em aberto),carro usado,4657,< 100 $,< 4 anos,3,masc-solteiro,n/há,2,carro ou outros-quitado,30,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,36,nenhum/pgto em dia,reparos,2613,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (em aberto),radio ou televisao,10961,>= 1000 $,< 7 anos,1,masc-solteiro,codevedor,2,n/há,27,banco,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
